Year,Region,Hazard.Event,Quarter,Duration,Fatalities,Injuries,Property.Damage,Inflation,Government.Overnight.Bank.Lending.Rate,X1.yr.risk.free.rate,X10.yr.risk.free.rate,Discountf,dwaboutthis,Presentvalue
1962,4,Hail/ Wind,3,1,0,0,2624,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,23170.242539783132
1962,1,Winter Weather,1,1,0,0,4019,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,35864.22259274181
1962,5,Hail/ Wind,2,1,0,0,3028,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,26878.86666808224
1962,4,Hail/ Wind,2,1,0,0,2926,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,25973.435888642212
1962,2,Coastal/ Wind,1,3,3,0,11561,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,103166.5283390615
1962,2,Tornado,3,1,0,0,79537,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,702321.486618419
1962,4,Tornado,3,1,0,0,7181,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,63409.112682234256
1962,2,Coastal/ Wind,4,8,0,0,124338,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,1092150.008757672
1962,3,Hail/ Wind,2,1,0,0,3184,0.0213,0.0307,0.0351,0.0446,8.783718644,1.0213,28263.643154284626
1963,4,Tornado,3,1,0,12,8464,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,73243.99262596764
1963,1,Severe Storm/Thunder Storm,1,2,0,0,130656,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1141949.996637974
1963,6,Winter Weather,4,2,0,6,167213,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1439811.729880118
1963,1,Hail/ Wind,2,1,0,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1963,5,Tornado,3,1,0,0,72285,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,625524.8117873429
1963,5,Hail,2,1,0,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1963,4,Wind,1,1,0,0,216551,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1892683.1811929794
1963,4,Hail,2,1,0,0,7761,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,67495.48554212647
1963,4,Hail,2,1,0,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1963,4,Tornado,3,1,0,0,71682,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,620306.6965281913
1963,4,Hail,2,1,0,0,73133,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,636019.5005994504
1963,1,Hail,2,1,0,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1963,1,Severe Storm/Thunder Storm,3,1,0,0,12962,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,112167.84409472973
1963,1,Severe Storm/Thunder Storm,1,2,2,0,136891,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1196444.6867328626
1963,3,Hail,2,1,0,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1963,2,Hail,2,1,0,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1963,3,Winter Weather,4,2,0,7,186717,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1607753.743835862
1963,2,Lightning,3,1,11,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1963,1,Winter Weather,4,2,0,7,187182,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1611757.6936148521
1963,2,Winter Weather,4,2,0,6,172382,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1484320.152262052
1963,5,Severe Storm/Thunder Storm,3,1,0,0,2449,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,21192.643896620364
1963,5,Winter Weather,4,2,0,7,177895,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1531790.63641597
1963,6,Hail,2,1,0,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1963,4,Winter Weather,4,2,0,6,171210,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,1474228.47669006
1963,2,Lightning,3,1,11,0,0,0.0201,0.0358,0.038,0.0452,8.610644686,1.0201,0
1964,3,Flooding,1,31,0,0,1861,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,15943.320975762017
1964,3,Severe Storm/Thunder Storm,3,2,0,0,33878,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,287305.3251018192
1964,5,Severe Storm/Thunder Storm,3,2,0,0,33000,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,279859.36974910065
1964,1,Severe Storm/Thunder Storm,4,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,4,Severe Storm/Thunder Storm,3,2,0,0,33986,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,288221.2284937253
1964,3,Severe Storm/Thunder Storm,4,3,2,0,158822,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,1340088.0062304442
1964,3,Lightning,3,1,0,347,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,4,Flooding,1,31,0,0,1596,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,13673.04689807425
1964,2,Flooding,1,31,0,0,1701,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,14572.589457158081
1964,1,Hail,2,1,0,0,7530,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,64183.61000725356
1964,1,Lightning,3,1,0,0,74480,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,631634.116936758
1964,3,Hurricane/Tropical Storm,3,2,0,0,1608,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,13636.783835047085
1964,2,Tornado,3,1,0,0,75772,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,642591.0352917835
1964,5,Severe Storm/Thunder Storm,4,3,2,0,187699,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,1583742.6721829982
1964,5,Hurricane/Tropical Storm,3,3,0,0,16937,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,143635.7013769854
1964,4,Severe Storm/Thunder Storm,3,2,3,0,4985,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,42275.726006038385
1964,1,Winter Weather,1,2,0,10,3656,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,31321.21520009991
1964,3,Hurricane/Tropical Storm,3,3,0,0,16882,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,143169.26909407022
1964,5,Flooding,1,31,0,0,1794,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,15369.327152346617
1964,4,Hurricane/Tropical Storm,3,2,0,0,1646,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,13959.046139606657
1964,1,Tornado,2,1,0,0,83444,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,711253.2740299158
1964,4,Severe Storm/Thunder Storm,4,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,3,Severe Storm/Thunder Storm,4,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,6,Severe Storm/Thunder Storm,4,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,5,Lightning,3,1,0,0,80219,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,680304.2055122154
1964,3,Tornado,3,1,0,0,75970,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,644270.191510278
1964,2,Severe Storm/Thunder Storm,4,3,0,0,174863,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,1475436.7092309261
1964,2,Severe Storm/Thunder Storm,3,2,3,0,5062,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,42928.73120211962
1964,3,Tornado,3,1,0,0,827791,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,7020153.561938721
1964,2,Hurricane/Tropical Storm,3,2,0,0,1571,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,13323.00211744961
1964,1,Winter Weather,1,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,4,Severe Storm/Thunder Storm,4,3,1,0,185976,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,1569204.5626343521
1964,5,Severe Storm/Thunder Storm,4,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,2,Severe Storm/Thunder Storm,4,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,6,Flooding,1,31,0,0,1840,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,15763.41246394525
1964,1,Wind,1,1,0,3,1627,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,13938.62612980376
1964,5,Hurricane/Tropical Storm,3,2,0,0,1874,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,15892.61996696408
1964,2,Lightning,3,1,13,13,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,6,Winter Weather,1,2,0,10,3930,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,33668.59292570915
1964,1,Flooding,1,31,0,0,1552,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,13296.095730458166
1964,6,Wind,1,1,0,0,1715,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,14692.528465035926
1964,5,Winter Weather,1,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,6,Hurricane/Tropical Storm,3,3,0,0,17798,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,150937.48675134827
1964,6,Winter Weather,1,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,1,Severe Storm/Thunder Storm,4,3,2,0,162078,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,1367561.067571356
1964,4,Winter Weather,1,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,5,Tornado,2,1,0,0,8389,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,71505.48530555778
1964,1,Lightning,2,1,0,0,77484,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,660451.9040905756
1964,1,Hurricane/Tropical Storm,3,3,0,0,16362,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,138759.36387378135
1964,4,Hurricane/Tropical Storm,3,3,0,0,17397,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,147536.7713795486
1964,3,Winter Weather,1,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,1,Hurricane/Tropical Storm,3,2,0,0,1775,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,15053.041857716777
1964,4,Wind,1,1,0,2,1833,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,15703.442960006327
1964,2,Hurricane/Tropical Storm,3,3,0,0,16081,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,136376.31893743295
1964,6,Severe Storm/Thunder Storm,4,3,3,0,187458,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,1581709.193134116
1964,2,Winter Weather,1,2,0,0,0,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,0
1964,1,Severe Storm/Thunder Storm,2,3,0,0,1191538,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,10156336.029325748
1964,2,Severe Storm/Thunder Storm,2,2,0,0,812494,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,6925471.185821178
1964,3,Wind,1,1,0,0,1766,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,15129.449136590929
1964,5,Wind,1,1,0,0,1822,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,15609.205168102306
1964,6,Hurricane/Tropical Storm,3,2,0,0,1744,0.0205,0.0394,0.0435,0.0473,8.437672402,1.0205,14790.143661891865
